Résumé,Clé de ticket,Lien de ticket sortant (Duplicate)
"Ajouter dans le mode de récupération de la balance antérieur ''écritures non lettrées''  c'est-à-dire le détail des comptes tiers au lieu du solde.",OD-2982,
"Finance/ Comptabilité générale/Solde de démarrage des comptes -  Dans le fichier csv d'importation, ajouter une colonne ""compte tiers""",OD-2981,
"Avoir les numéros de pièces/N° facture, et la description sur le grand livre (Rendre paramétrable)",OD-2980,
"En fonction du journal selectionné, fixer automatiquement le compte générale lié au tiers (Fournisseur / Client)",OD-2979,
"Finance/Comptabilité Générale/ Banque / Note de débit Crédit - Donner la possibilité de rajouter plusieurs lignes dans un même formulaire d'enregistrement des notes de débit / Crédit",OD-2978,
"Modèle de grand livre général et tiers avec total général débit, total général crédit et le solde global.",OD-2977,
"Lettrage : intégrer une fonction de recherche par nom ou libellé du compte.",OD-2976,
"Ajouter des raccourcis pour les actions comptables afin d’optimiser le temps de saisie.",OD-2975,
"Finance/Comptabilité générale/Journal générale : Suppression des écritures importés du journal ODCAIS de Janvier à juin 2025.",OD-2974,OBCS-11729
"Finance/Comptabilité analytique - Suppression de données de la compta analytique.",OD-2973,OBCS-11728
"OPERATION/ACHAT/BON DE LIVRAISON/ La quantité au niveau du bon de commande est différente de celle du bon livraison",OD-2972,OBCS-11727
"RH/SALAIRE/GESTION RUBRIQUES AUTRES PAIES/ Donner la possibilité de changer la position d'une rubrique créée",OD-2971,OBCS-11722
"RH/Salaire/Calcul OHADA : Prise en compte du nombre de jours travaillé dans le calcul de la gratification.",OD-2970,OBCS-11719
"RH/Gestion employé/Fichier du personnel : Donner la possibilité d'éffectué une suppression multiple du fichier du personnel.",OD-2969,OBCS-11718
"Opération/Achat/ Programmation avance / Donner la possibilité de sélectionner un compte générale avance fournisseur de façon automatique",OD-2964,OBCS-11711
"Demande de sortie de caisse : Donner la possibilité de choisir son supérieur hiérarchique lors de la demande",OD-2963,OBCS-11623
"FINANCE/COMPTABILITE GENERALE/TRANSFERT DEPOT/ Resoudre un problème dans le processus d'enregistrement et génération d'écritures de transfert dépôt compte bancaire",OD-2962,OBCS-11621
"RH/DOCUMENT/Certificat de travail : Les informations de l'employé ne se déverse pas à l'impression du fichier du certificat de travail.",OD-2961,OBCS-11619
"Finance/Comptabilité générale/Journal général: Avoir la possibilité de réimputer les comptes à partir du journal général.",OD-2960,OBCS-11613
"Créer une alerte pour les factures échues",OD-2959,OBCS-11611
"Finance/Opération de caisse: Afficher le nom du fournisseur à l'impression du bon de caisse",OD-2958,OBCS-11609
"Opération/Vente/Contrat: Dans le cycle de vente, remplacer le libellé ""Contrat"" par ""Récurrent mensuel""",OD-2957,OBCS-11605
"Finance/Comptabilité générale/Interrogation de compte tiers ou compte général : Donner la possibilité de faire un pré-lettrage.",OD-2956,OBCS-11602
"OPERATION/VENTE/FACTURE CLIENT/ Mauvais déversement de données à l'édition des factures clients",OD-2955,OBCS-11562
"OPERATION/IMMOBILISATION/Fichiers d'immobilisation/Impossible d'importer le fichier CSV de fichiers d'immobilisations",OD-2954,OBCS-11498
"Projet/Feuille de temps/ Journalier - Dysfonctionnement case à cocher multi-selection",OD-2953,OBCS-11496
"OPERATIONS/GESTION DE STOCK/BORDEREAU D'ENTREE/Suppression d'articles dans les bordereaux d'entrées enregistrés",OD-2952,OBCS-11494
"Finance/Comptabilité Générale/Historique des imputations comptable - Montant de Ecriture de stock brousse est incorrecte",OD-2951,OBCS-11493
"Bon de commande : Export Excel en vrac",OD-2950,OBCS-11492
"Finance/Comptabilité Générale/Historique des imputations comptable - Doublon constaté lors de la génération des écritures comptable lié a l'enregistrement d'un bordereau de réception",OD-2949,OBCS-11491
"FINANCE/COMPTABILITE GENERALE/PLAN COMPTABLE TIERS ENTITE/Nous constatons un doublon dans le plan comptable tier salarié",OD-2948,OBCS-11488
"Mise en place d’un mécanisme de traçabilité des opérations dans OBC (utilisateur + heure & date d’enregistrement)",OD-2947,OBCS-11487
"Finance/Comptabilité Générale / Création compte Tiers entité - Impossible de Créer et modifier un compte tiers",OD-2946,OBCS-11483
"Finance/Opérations de Caisse : Un message d'erreur apparait à l'enregistrement d'une demande de sortie de caisse",OD-2945,OBCS-11481
"RH/SALAIRE/SIMULATEUR DE SALAIRE: Lorsqu’on tente d’accéder au simulateur, une page blanche s’affiche.",OD-2944,OBCS-11480
"Finance/Comptabilité Général/ Plan comptable Tiers / Doublon constaté dans la Comptabilité / Ecorigine",OD-2943,OBCS-11478
"RH/Salaire / Opération de paie ODP - Différence de montant entre la valeur trouvé dans le détails et celle affiché en Historique",OD-2942,OBCS-11476
"Finance/Comptabilité générale/Paramétrage comptabilisation de la paie : Rajouter une action permettant d'avoir le detail de l'imputation et donner la possibilité d’afficher l’historique sur plus de 10 lignes.",OD-2941,OBCS-11473
"RH/Gestion Employés/Affectation employés : Rajouter un champ qui permet de filtrer sur le type d’employés.",OD-2940,OBCS-11472
"MODULE RH/ gestion des employés/ affectation des employés : Doublons dans l’affectation des employés à un site.",OD-2939,OBCS-11471
"FINANCE/COMPTABILITE GENERALE/Plan comptable tiers entité/ Au niveau des tiers salariés, il est impossible de supprimer un compte tiers salarié",OD-2938,OBCS-11458
"RH/Gestion employé/Contrat OHADA : Modification du type de contrat renseigner lors de l'importation du fichier.",OD-2937,OBCS-11383
"RH/Gestion employé/Fichier du personnel : Non prise en compte de la situation matrimoniale et du mode de règlement lors de l’importation du fichier du personnel.",OD-2936,OBCS-11382
"OPERATION/GESTION DE STOCK/ Correction des stocks initiaux de certains articles",OD-2935,OBCS-11381
"OPERATIONS/BON DE COMMANDE/ Intégration de bon de commande version PDF en EXCEL",OD-2934,OBCS-11380
"Suppression de bordereau d'entrée",OD-2933,OBCS-11356
"RH/Analytique/Dashboard/ Création section Evolution des Coûts Salariaux Points des Salaires",OD-2932,OBCS-11346
"RH/Analytique/Dashboard/ Création section Suivi des Absences par Type",OD-2931,OBCS-11345
"RH/Analytique/Dashboard/ Création section Absences par Département",OD-2930,OBCS-11344
"RH/Analytique/Dashboard/ Création section Evolution de l'effectif",OD-2929,OBCS-11343
"RH/Analytique/Dashboard/ Création section Répartition Des Absences par Causes",OD-2928,OBCS-11342
"RH/Analytique/Dashboard/ Création section Points des Salaires",OD-2927,OBCS-11341
"RH/Analytique/Dashboard/ Création section Répartition par genre",OD-2926,OBCS-11340
"RH/Analytique/Dashboard/ Création section Evolution de l'effectif par département",OD-2925,OBCS-11339
"RH/Analytique/Dashboard/ Création section Effectif par type de Contrat",OD-2924,OBCS-11338
"RH/Analytique/Dashboard/ Création section Effectif par département",OD-2923,OBCS-11337
"RH/Analytique/Dashboard/ Création section Nbre de Missions",OD-2922,OBCS-11336
"RH/Analytique/Dashboard/ Création section Impôt sur salaire",OD-2921,OBCS-11335
"RH/Analytique/Dashboard/ Création section Masse Salariale Brut",OD-2920,OBCS-11334
"RH/Analytique/Dashboard/ Création section Cumul Congé Annuel Du (Jrs)",OD-2919,OBCS-11333
"RH/Analytique/Dashboard/ Création section Taux d'absentéisme",OD-2918,OBCS-11332
"RH/Analytique/Dashboard V2/ Section Nombre d'employés.",OD-2917,OBCS-11331
"RH/Gestion employé/Prêts salariés/ Possibilité de faire apparaitre tous les prêts contractés en détail sur le calcul de salaire et les bulletins de salaire",OD-2916,
"RH/Gestion employé/Congés et autres absences - Intégrer Fonction Export",OD-2915,
"RH/DOCUMENTS/ Intégration du livre de paie mois par mois lorsqu'on veut visualiser plusieurs mois",OD-2914,
"RH/Calcul de salaire/ Intégration de paie V2 avec le paramétrage des rubriques personnalisées par employé",OD-2913,
"RH/Intégration du simulateur de paie pour tous les pays",OD-2912,
"FINANCE/Plan comptable tiers entité/Impossible de supprimer un compte tiers salarié",OD-2911,
"Opération/ Finance/ Trésorerie /  Enregistrement des lignes de crédit",OD-2910,OBCS-11330
"Opération/ Agro/ Nantissement / Création et enregistrement d’une demande de nantissement",OD-2909,OBCS-11328
"Opération/ Agro/ Nantissement / Génération et envoi de la lettre de tierce détention",OD-2908,OBCS-11327
"Opération/ Agro/ Nantissement /  Vérification de la disponibilité de la ligne de crédit",OD-2907,OBCS-11326
"Finance/comptabilité générale/journal général : Suppression des journaux.",OD-2906,OBCS-11325
"Opération/Vente/Blocs débours : Une image noir s'affiche lorsqu'on enregistre ou lorsqu'on supprime un bloc de débours.",OD-2905,OBCS-11324
"Opération/Agro/Shipping I/ Mise en place d’un système de gestion des Tiers Détenteurs dans le module Agro",OD-2904,OBCS-11323
"Opération/Agro/ Shipping I / Création formulaire d'enregistrement de la Confirmation de Vente (CV)",OD-2903,OBCS-11322
"AGRO/Sous Module Export / Ordre de Transit - Rattacher les documents cacao à l’Ordre de Transit (OT) au lieu du contrat société | Amélioration Formulaire Contrat société après présentation du 03/10/2025",OD-2902,OBCS-11321
"RH/Salaire/ Calcul paie - Donner la possibilité de  calculer automatique la paie en cas de chômage technique",OD-2901,OBCS-11320
"Finance/comptabilité générale/journal général : Des doublons apparaissent après l'importation d'un journal.",OD-2900,OBCS-11319
"Opération/Cycle de vente/Facture client : La remise est renseignée, mais n’est pas déduite du montant total.",OD-2899,OBCS-11318
"Opération/Achat/Bon de commande : Répétition des numéros bon de commande.",OD-2898,OBCS-11317
"Finance/Impôt et taxe/programmation de paiement_ Doublon sur la récupération de la TVA.",OD-2897,OBCS-11264
"RH/Gestion des employés/ Mise en place de la gestion des avenants contractuels dans OBC",OD-2896,OBCS-11246
"RH/Gestion du personnel/ Contrat Employé / Renouvellement automatique des contrats pour les permanents",OD-2895,OBCS-11245
"RH/Gestion Employé/ Fichier du personnel - Optimiser le fichier du personnel en dissociant clairement les journaliers des permanents, avec des interfaces et des logiques adaptées à leurs modes de gestion distincts.",OD-2894,OBCS-11244
"Lenteur et non affichage respectivement du bulletin et du livre de paie",OD-2893,OBCS-11243
"RH/Gestion des Employés/ Affectation employés - Amélioration du module d’affectation des employés par site et période",OD-2892,OBCS-11242
"RH/ Gestion des employés / Contrat journalier - Ajout du champ “Site” dans les contrats journaliers + prise en compte dans fichier import CSV",OD-2891,OBCS-11241
"Finance/Trésorerie/Banque/Suivi des chèques - Donner la possibilité de Visualiser des détails d’un chèque",OD-2890,OBCS-11240
"Finance/Trésorerie/Banque - Liste incomplète des banques dans ""Statut des chèques""",OD-2889,OBCS-11239
"GESTION DES PROFILS UTILISATEURS/ PROFIL UTILISATEUR/ Nous constatons que les utilisateurs (mails) de toutes les entités de OBC se déversent dans le paramétrage de profils utilisateurs",OD-2888,OBCS-11237
"RH/Gestion Employé/Contrat Stage - Erreur à l’enregistrement d’un contrat de stage – Création dupliquée dans l’historique",OD-2880,OBCS-11225
"OPERATION/ACHAT/BON DE COMMANDE/Ecart constaté au niveau de la conversion de devise étrangère en devise locale",OD-2878,OBCS-11223
"Opération/Agro/Achat - Donner la possibilité d'importer en format Excel, des bordereaux de réceptions enregistrés dans OBC",OD-2877,OBCS-11222
"Finance/Compatibilité générale/Journal général/Importation : Après l’importation des journaux, plusieurs lignes n’ont pas été prises en compte et aucun détail n’est affiché. ",OD-2876,OBCS-11149
"Finance/Comptabilité analytique/Compte analytique : Donner la possibilité d'enregistrer des centres analytiques qui ont le même codes mais appartiennent à des axes différents.",OD-2875,OBCS-11148
"Mauvaise récupération du numéro de BON DE COMMANDE.",OD-2874,OBCS-11147
"Appel pour point d'utilisation OBC + état d'avancement des requêtes + bugs",OD-2873,OBCS-11139
"Donner la possibilité d'éditer / Imprimer des bulletins par entité.",OD-2872,OBCS-11090
"RH / Paramétrage / Poste – Impossible de supprimer un poste.",OD-2871,OBCS-11089
"Administration Sys - Nettoyage des entités de test inutilisées sur base DEFAULT",OD-2870,OBCS-11088
"Achat/Comptabilité/ Impossible de Supprimer une écriture comptable provenant des notes de frais",OD-2868,OBCS-10967
"Comptabilité Générale - Fusionner les comptes 4111056 du plan comptable tiers",OD-2867,OBCS-10966
"RH/Comptabilité/Comptabilité / Opérations de paie : ODP",OD-2866,OBCS-10965
"CRM : Filtre Commercial et Période Création Opportunité",OD-2865,OBCS-10961
"Paramétrage Général / Création ou enregistrement Unité / Impossible de créer une nouvelle unité de mesure un message d'erreur affiche",OD-2864,OBCS-10960
"Finance/Tableau de bord trésorerie- Rajouter aux Dashboard trésorerie un Dashboard interco reçu.",OD-2863,OBCS-10958
"Stock Inventaire : Impossible de supprimer un inventaire non validé et de valider un inventaire",OD-2862,OBCS-10957
"Finance /Comptabilité Générale / Programmation dette antérieur - Dans le listing de programmation dettes antérieur supprimer les dettes qui sont lié uniquement au comptes généraux",OD-2861,OBCS-10956
"Finance/enregistrement écritures manuelles : Les comptes tiers ne se déversent pas dans le formulaire",OD-2860,
"Impossible de calculer la paie d'un nouvel employé",OD-2859,OBCS-10954
"Finance/ Programmation dette Antérieur/ Afficher plus de 15 lignes en historique des programmations dette antérieur",OD-2858,
"Finance/Comptabilité générale/ Programmation dette antérieur - Affichage ""Success : True"" à la suppression d'une programmation dette antérieur.",OD-2857,
"Gestion de prêts multiples sur 2 échéanciers courants sur le même mois",OD-2856,OBCS-10952
"Module Agro - Création fonctionnalité et formulaire contrat société",OD-2855,OBCS-10951
"Module Agro – Export - Création Fonctionnalité identification navire",OD-2854,OBCS-10950
"Opération/Achat/Facturation/Programmer un règlement fournisseur_ Une facture déjà soldée se redéverse lors d’une nouvelle programmation avec le même fournisseur.",OD-2852,
"RH / Gestion des employés / Fichier du personnel – La liste du personnel ne s’affiche pas après l’importation du fichier du personnel.",OD-2851,
"Ajout numéro de pièces sur le grand livre",OD-2850,OBCS-10879
"Bouton export compte analytique",OD-2849,OBCS-10878
"Paramétrage/Société/Garage_ Modifier le libellé ""modèle de véhicule"" par garage.",OD-2848,OBCS-10877
"Paramétrage/Trésorerie/Carte électronique-Message ''success'' : true après l'enregistrement d'une carte électronique.",OD-2847,OBCS-10876
"Paramétrage/Société/Sites-Donner la possibilité de sélectionner un type de site autre que chantier et magasin.",OD-2846,OBCS-10875
"Finance/Compta Générale/Plan comptable Générale - Fusionner les doublons qui apparaissent dans le plan comptable",OD-2845,OBCS-10872
"RH/Gestion des employés/ Mise à jour Compteur congés payés.",OD-2844,OBCS-10870
"Finance / Comptabilité Générale - Demande de suppression des programmations de paiement de dette – OBC",OD-2843,OBCS-10868
"RH/Gestion employé / Processus de Demande d'absence et congés - Intégration de la limite légale de 10 jours d’absence autorisée dans le système (conformité au Code du travail ivoirien)",OD-2842,OBCS-10867
"Demande d'évolution – Possibilité de créer des rubriques avec un même libellé sur des entités différentes",OD-2841,OBCS-10866
"CRM/Offres/Programme offre BTP/ Impossible d'ajouter de nouvelles construction à un programme offre BTP déjà créé",OD-2840,OBCS-10825
"Finance/Comptabilité Générale - Programmation Dette Antérieur",OD-2839,OBCS-10824
"AGRO/Sous Module Export - Contrat société",OD-2838,OBCS-10823
"Mauvais déversement des données renseignées dans le fichier du personnel après importation.",OD-2837,OBCS-10822
"CRM/Activités commerciales/Gestion des opportunités/ Les filtres année mois dernier trimestre et semaine n’affichent pas les données souhaitées",OD-2836,OBCS-10820
"RH/Gestion Employé/Contrat - Impossible d'importer un fichier import",OD-2835,OBCS-10819
"Finance/Comptabilité Général/ Ecart Balance générale Janvier - Sept 2025",OD-2834,OBCS-10818
"RH/Gestion Employé/Mise à jour Stock de congés Au 31 juillet",OD-2833,OBCS-10817
"Avance - Liaison de facture vente : Doublons constaté dans les écritures et à la génération du Grand Livre",OD-2832,OBCS-10816
"RH/Gestion Employé / Intégration FORMULAIRE DE DEMANDE DE PERMISSION & CONGE",OD-2831,OBCS-10815
"Server Error in '/' Application.",OD-2830,OBCS-10814
"Anomalie Grand Livre : A la génération de l'Excel/vrac du grand livre (tiers par exemple)",OD-2829,OBCS-10812
"Suppression d'un personne de la paie puis recalcule : Lorsqu'on supprime une personne de la paie, il est impossible de faire le recalcul de cette dernière. A moins de supprimer toute la paie et recalculer.",OD-2828,OBCS-10811
"Finance/Comptabilité Général/ Balance Générale - Déséquilibre constaté dans la balance générale",OD-2827,OBCS-10810
"Finance/Comptabilité Générale/Balance - Anomalie d'affichage du compte SUC001 dans la balance générale",OD-2826,OBCS-10808
"Finance/Opération de Caisse/ Edition Opération de caisse - Impossible de modifier une opération de caisse",OD-2825,OBCS-10804
"Suppression du plan comptable tiers entité.",OD-2824,OBCS-10803
"Donner la possibilité de saisir directement le numéro de poste comptable, tout en offrant l’option de consulter la liste des comptes.",OD-2823,OBCS-10802
"Importer un plan analytique entité - Historique Comptes Analytique Entité - Données de la Colonne plan analytique non pris en charge lors de l’importation.",OD-2822,
"Importer un plan analytique entité - Rejet des lignes à l'import – Erreur ""La nature du compte n'existe pas""",OD-2821,OBCS-10759
" Comptabilité analytique/Comptes analytiques - Amélioration du filtre dans la section ""Comptes analytiques""",OD-2820,OBCS-10758
"Suppression contrat et fichier du personnel en double",OD-2819,OBCS-10757
"Affichage d'écrant bleu.",OD-2818,OBCS-10749
"Opération/Vente/Devis / Historique devis - Impossible d'effectuer une action (Suppression/Edition/Modification) sur les devis",OD-2817,OBCS-10747
"OPERATIONS/VENTE/Nous constatons que le détail ou l'impression de la facture vente affiche que 4 lignes au lieu du nombre de lignes exact",OD-2816,OBCS-10696
"Impossible de calculer la paie.",OD-2815,OBCS-10695
"Non affichage des bulletins de salaire",OD-2814,OBCS-10694
"Ressources Humaines | Salaire Opérations de paie : ODP  - Ecart écriture de paie généré, Montant d'écart 22000",OD-2813,OBCS-10693
"CRM/OFFRE/PROGRAMME OFFRE BTP/ Impossible de supprimer les programmes enregistrés malgré que la gestion des opportunités er les zones soient vides",OD-2812,OBCS-10692
"RH/Gestion Employé / Congés et Absence/ Suppression de toutes les demandes d'absences & congés - Pour réorganisation et mise à jour du stock congés",OD-2811,OBCS-10691
"Dysfonctionnement sur le filtre PROGRAMMATION DE REGLEMENT FOURNISSEUR",OD-2810,OBCS-10689
"Dashboard utilisateur V2 / Refonte tableau de bord utilisateur  - Création d'une section Paiements effectués",OD-2809,OBCS-10687
"Dashboard utilisateur V2 / Analytique / Refonte tableau de bord utilisateur V2 - Création d'une section Paiements reçus",OD-2808,OBCS-10686
"Dashboard utilisateur V2 / Analytique / Refonte tableau de bord utilisateur V2 - Création d'une section Paiements en attente",OD-2807,OBCS-10685
"Opération / Analytique / Achat - Refonte Dashboard _ Création d'un bloc recap ""bon de commande"" émis sur le tableau de bord",OD-2806,OBCS-10684
"Dashboard utilisateur V2 / Analytique / Achat -  Refonte Dashboard, Création d'une section recap demande d'achat sur le tableau de bord ",OD-2805,OBCS-10683
"Dashboard user V2 - Refonte Dashboard, Création d'une section Factures fournisseurs",OD-2804,OBCS-10682
"Dashboard Principal V2 /  Refonte Dashboard, Création d'une section Factures clients",OD-2803,OBCS-10681
"Refonte Dashboard / Création d'une section récap des devis enregistré à date",OD-2802,OBCS-10680
"RH/Gestion Employé/ Fichier du personnel",OD-2801,OBCS-10679
"Impossible de Supprimer un Fichier du personnel",OD-2800,OBCS-10678
"OPERATIONS/ACHAT/Programmation fournisseur/sélectionner plusieurs factures dans le formulaire de programmation de paiement fournisseur",OD-2799,OBCS-10676
"Générer une pièce de caisse selon le modèle transmis par le client",OD-2798,OBCS-10637
"Agro/ Création fonctionnalité / Mouvements de lots – Gestion et traçabilité",OD-2796,OBCS-10635
"Dans l'historique d'attestation de travail, donner la possibilité d'avoir plus de 15 lignes sur la page, puis placer l'entité avant la liste des employés.",OD-2794,OBCS-10634
"Bordereau de retour : A la validation d'une quantité retournée, le stock n'est pas incrémenté de sa valeur. La quantité retournée n'est pas impactée",OD-2793,OBCS-10633
"Suppression des journaux comptables de l'exercice 2024 de SERTEM GROUPE SASU.",OD-2792,OBCS-10632
"Ajoutez une colonne compte général dans le fichier d'exportation du plan comptable tiers.",OD-2791,OBCS-10631
"Problème constaté lors de l'enregistrement de la productivité des journaliers quand on clique sur le bouton enregistrer",OD-2790,OBCS-10630
"PROJET/TIMESHEET/Problème constaté sur l'enregistrement des timesheet journaliers",OD-2789,OBCS-10629
"Finance/Comptabilité Générale/Audit/ Réconciliation bancaire",OD-2788,OBCS-10628
"CRM/ACTIVITE COMMERCIALE/HISTORIQUE DE GESTION DES OPPORTUNITES/Revoir le tri du listing des opportunités en historique de gestion des opportunités pour prioriser les “en cours” au niveau des étapes du pipeline",OD-2787,OBCS-10626
"CRM/ACTIVITE COMMERCIALE/HISTORIQUE DE GESTION DES OPPORTUNITES/ Afficher en premier les opportunités en cours dans la liste récapitulative composée des offres en cours, abandonnées, gagnées et perdues ",OD-2786,OBCS-10625
"Page d'erreur après chargement de la fonctionnalité gestion des prospects",OD-2784,OBCS-10623
"Analyser mon stock/ mouvement récapitulatif de stock/Le CMUP de plusieurs articles est incorrecte (voir le fichier excel détaillé)",OD-2783,OBCS-10622
"Gestion des opportunités : Dans le filtre de sélection des commerciaux, donnez la possibilité de pouvoir sélectionner plusieurs en plus de Tout ou Un",OD-2782,OBCS-10617
"Suppression des comptes tiers de la balance générale 2025.",OD-2781,OBCS-10558
"Server Error in '/' Application.",OD-2780,OBCS-10556
"Impossible d'importer le RAN",OD-2778,
"WORKFLOW/Intégration de workflow de frais de mission",OD-2777,OBCS-10553
"Paramétrage entité/Nous constatons un message d'erreur à l'enregistrement des informations pour la création d'une nouvelle entité",OD-2776,OBCS-10552
"OPERATION/ ENREGISTRER UNE FACTURE /Les montants affichés dans l’historique diffèrent du net indiqué à l’édition de la facture.",OD-2775,
"Il y a un écran bleu qui affiche sur l'interface d'OBC lors de l'utilisation.",OD-2774,
"Intégration modèle d'attestation de congé avec les modifications en attente",OD-2773,OBCS-10550
"Suppression des données de la bases 2024 de SIT-BTP",OD-2772,
"Impossible de poursuivre le paramétrage d'une entreprise à partir de l'interface principal OBC",OD-2771,OBCS-10537
"RH/Document/Livre de Paie - Donner la possibilié d'éditer un livre de paie en fonction du type de paie",OD-2770,OBCS-10523
"Opération/Achat/Expression Besoin - Effectuer des relances automatique dans un délai prédefini pour les expression de besoin",OD-2769,OBCS-10522
"Finance/Comptabilité Générale/Interrogation Compte général (Lettrage) - Incrémenter le code afin de pouvoir l'attribuer à des écritures comptable",OD-2768,OBCS-10521
"Finance/Comptabilité Générale/ Livre comptable/ Balance comptable (Générale/Tiers) - Aucune données lors de l'affichage de la balance générale",OD-2767,OBCS-10520
"Journal général/import d'écritures comptables ventes/ Malgré l'existence des tiers clients dans le module opération (compte client) et finance (plan comptable tiers) les imports ne sont pas enregistrés",OD-2766,OBCS-10517
"Impossible de créer une entité - Un message d'erreur affiche",OD-2765,OBCS-10515
"RH/Gestion des Employés/Contrat Journalier - Amélioration filtre",OD-2764,OBCS-10514
"Impossible d'afficher une balance générale et tiers",OD-2762,OBCS-10512
"Suppression du compte 4711OC de la balance générale 2024 de KDA",OD-2761,OBCS-10511
"RH/Gestion des employés/ Productivité Journalière - Créer un fichier d'import et un bouton pour la productivité journalière comme pour les TimeSheet",OD-2748,OBCS-10498
"RH/DOCUMENTS/BULLETIN DE SALAIRE : Nous constatons un mauvais déversement des congés dûs sur le bulletin de salaire",OD-2745,OBCS-10495
"Refonte Dashboard ( Principal + Utilisateur ) V2",OD-2737,OBCS-10488
"RH/Fichier du personnel/ Import fichier  - Impossible d'importer le fichier du personnel",OD-2733,OBCS-10484
"Bon de commande : Mauvais affichage du formulaire de bon de commande lorsqu'on clique : Achat import",OD-2732,OBCS-10483
"A l'enregistrement d'une opportunité, après avoir sélectionné le ou les biens dans l'onglet offre BTP la page s'actualise au lieu de revenir sur le formulaire d'enregistrement de l'opportunité",OD-2728,OBCS-10479
"Un message d'erreur affiche lorsqu'on veut visualiser le dashboard recap congé.",OD-2725,OBCS-10476
"Un message d'error affiche à l'enregistrement d'un contrat stagiaire.",OD-2724,OBCS-10475
"Impossible de visualiser le dashboard CRM Onglet activité commerciale",OD-2723,OBCS-10474
"Finance/Budget/ Budget de dépense - Date incorrecte en historique",OD-2722,OBCS-10473
"Demande de vérification des droits utilisateurs.  Clôturer les années définitivement de sorte a ce que les écritures d’une années antérieur ne puissent être saisie",OD-2721,OBCS-10441
"RH/Gestion Employé / Accès Fonctionnalité Import de contrat journalier",OD-2716,OBCS-10423
"RH/GestionEmployé/Contrat Journalier / Rajouter la colonne ""Date d'embauche"" dans le fichier",OD-2715,OBCS-10422
"Traitement des incohérences sur les mouvements de stock des articles",OD-2714,OBCS-10421
"Modification de la requête sur nomenclature de bon de commande",OD-2712,OBCS-10419
"Analytique/Dashboard Utilisateur V2/ Donner la possibilité de modifier le statut d'une tâche",OD-2711,OBCS-10372
"CRM/Vente/Devis - Retirer la condition de sélection de l'offre dans le formulaire de Devis",OD-2710,OBCS-10371
